index	label	sentence	pos	v_index	definition
0	1	The invaders spread their language all over the country.	VERB	2	To stretch out, open out  so that it more fully covers a given area of space.
1	1	Sales were climbing after prices were lowered.	VERB	2	To ascend; rise; to go up.
2	1	The moon glared back at itself from the lake's surface.	VERB	2	To stare angrily.
3	1	The cancer cells are attacking his liver.	VERB	4	To apply violent force to someone or something.
4	0	You have ruined my car by pouring sugar in the tank!	VERB	2	To cause the fiscal ruin of.
5	1	The editors of the left- leaning paper attacked the new House Speaker.	VERB	7	To apply violent force to someone or something.
6	0	tack the notice on the board.	VERB	0	To nail with a tack .
7	0	European children learn the breast stroke; they often don't know how to crawl.	VERB	12	To creep; to move slowly on hands and knees, or by dragging the body along the ground.
8	0	Please guard my possessions while I'm away.	VERB	1	To protect from danger; to secure against surprise, attack, or injury; to keep in safety; to defend.
9	0	the infection spread.	VERB	2	To stretch out, open out  so that it more fully covers a given area of space.
10	0	Gun shots volleyed at the attackers.	VERB	2	To fire a volley of shots
11	0	We exploded the nuclear bomb.	VERB	1	To destroy with an explosion.
12	1	We rotate the crops so as to maximize the use of the soil.	VERB	1	To spin, turn, or revolve.
13	1	He injected new life into the performance.	VERB	1	To push or pump  into a cavity or passage.
14	0	Meteors showered down over half of Australia.	VERB	1	To spray with .
15	1	The conversation gravitated towards politics.	VERB	2	To move under the force of gravity.
16	1	The beams scanned the night sky.	VERB	2	To examine sequentially, carefully, or critically; to scrutinize; to behold closely.
17	1	poison someone's mind.	VERB	0	To use poison to kill or paralyse .
18	1	Don't abuse the system.	VERB	1	To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
19	1	The chemical clouded the liquid to which it was added.	VERB	2	To become foggy or gloomy, or obscured from sight.
20	0	this snake swims through the soil where it lives.	VERB	2	To move through the water, without touching the bottom; to propel oneself in water by natural means.
21	0	She nags her husband all day long.	VERB	1	To continuously remind or complain to  in an annoying way, often about insignificant or unnecessary matters.
22	1	Our business was hurt by the new competition.	VERB	3	To cause  physical pain and/or injury.
23	1	The fate of Bosnia lies in the hands of the West.	VERB	4	To rest in a horizontal position on a surface.
24	1	This poses an interesting question.	VERB	1	To place in an attitude or fixed position, for the sake of effect.
25	0	I inherited a castle from my French grandparents.	VERB	1	To take possession of as a right .
26	1	stock prices are drifting higher.	VERB	3	To move slowly, especially pushed by currents of water, air, etc.
27	1	I attacked the problem as soon as I got out of bed.	VERB	1	To apply violent force to someone or something.
28	0	The wildfire scorched the forest and several homes.	VERB	2	To burn the surface of something so as to discolour it
29	0	She locked her jewels in the safe.	VERB	1	To become fastened in place.
30	1	The cold pierced her bones.	VERB	2	To puncture; to break through.
31	1	The champagne flowed at the wedding.	VERB	2	To move as a fluid from one position to another.
32	1	A hot soup will revive me.	VERB	4	To return to life; to become reanimated or reinvigorated.
33	1	Life in the camp drained him.	VERB	4	To lose liquid.
34	0	This hotel can accommodate 250 guests.	VERB	3	To render fit, suitable, or correspondent; to adapt.
35	1	Interns have to rotate for a few months.	VERB	3	To spin, turn, or revolve.
36	1	Boys gravitate towards girls at that age.	VERB	1	To move under the force of gravity.
37	1	She was besieged by so many problems that she got discouraged.	VERB	2	To beset or surround with armed forces for the purpose of compelling to surrender, to lay siege to, beleaguer.
38	0	Sound is reflected well in this auditorium.	VERB	2	To bend back  from a surface.
39	0	The container leaked gasoline.	VERB	2	To allow fluid or gas to pass through an opening that should be sealed.
40	1	Sales were climbing after prices were lowered.	VERB	2	To ascend; rise; to go up.
41	1	I salute your courage!	VERB	1	To make a gesture in honor of .
42	0	The property vests in the trustees.	VERB	2	To clothe with, or as with, a vestment, or garment; to dress; to robe; to cover, surround, or encompass closely.
43	0	They began to volley the tennis ball.	VERB	3	To fire a volley of shots
44	0	Hitler attacked Poland on September 1, 1939 and started World War II.	VERB	1	To apply violent force to someone or something.
45	1	The professor plunged his students into the study of the Italian text.	VERB	2	To thrust into liquid, or into any penetrable substance; to immerse.
46	1	Islam is fermenting Africa.	VERB	2	To react, using fermentation; especially to produce alcohol by aging or by allowing yeast to act on sugars; to brew.
47	0	preserve the forest and the lakes.	VERB	0	To protect; to keep from harm or injury.
48	0	The muscles in her face convulsed.	VERB	5	To violently shake or agitate.
49	0	Our basement flooded during the heavy rains.	VERB	2	To overflow, as by water from excessive rainfall.
50	1	sorrow had lined his face.	VERB	2	To place  into a line ; to form into a line; to align.
51	1	Middle age dulled her appetite for travel.	VERB	2	To render dull; to remove or blunt an edge or something that was sharp.
52	0	The bugs pinged the lamp shade.	VERB	2	To make a high-pitched, short and somewhat sharp sound.
53	1	the meat was swimming in a fatty gravy.	VERB	3	To move through the water, without touching the bottom; to propel oneself in water by natural means.
54	1	The new teacher tends to steamroller.	VERB	5	To level a road using a steamroller.
55	1	I can't buy this story.	VERB	2	To obtain  in exchange for money or goods
56	1	The exercise class drains me of energy.	VERB	3	To lose liquid.
57	1	His lack of interest in the project reflects badly on him.	VERB	7	To bend back  from a surface.
58	0	Goering often hunted wild boars in Poland.	VERB	2	To find or search for an animal in the wild with the intention of killing the animal for its meat or for sport.
59	1	She interrupted her pregnancy.	VERB	1	To disturb or halt  by interfering suddenly.
60	0	square the wood with a file.	VERB	0	To adjust so as to align with or place at a right angle to something else; in particular:
61	0	Her husband poisoned her drink in order to kill her.	VERB	2	To use poison to kill or paralyse .
62	1	Suspense was building right from the beginning of the opera.	VERB	2	To form  by combining materials or parts.
63	0	She vested her vast fortune in her two sons.	VERB	1	To clothe with, or as with, a vestment, or garment; to dress; to robe; to cover, surround, or encompass closely.
64	0	The bird flapped its wings.	VERB	2	To move  up and down.
65	1	Their faces were clouded with sadness.	VERB	3	To become foggy or gloomy, or obscured from sight.
66	1	She traced the circumstances of her birth.	VERB	1	To follow the trail of.
67	0	The wax melted in the sun.	VERB	2	To change  from a solid state to a liquid state, usually by a gradual heat.
68	0	inject hydrogen into the balloon.	VERB	0	To push or pump  into a cavity or passage.
69	0	The prisoner tugged at the chains.	VERB	2	to pull or drag with great effort
70	1	The bicycle looped around the tree.	VERB	2	To form something into a loop.
71	0	The nurse pricked my finger to get a small blood sample.	VERB	2	To pierce or puncture slightly.
72	1	The spaceship blazed out into space.	VERB	2	To be on fire, especially producing bright flames.
73	0	she lightened the load on the tired donkey.	VERB	1	To make brighter or clearer; to illuminate.
74	0	relax the tension on the rope.	VERB	0	To calm down.
75	1	flush the wound with antibiotics.	VERB	0	To cause to take flight from concealment.
76	0	They scraped a letter into the stone.	VERB	1	To discard.
77	0	She whistled for her maid.	VERB	1	To make a shrill, high-pitched sound by forcing air through the mouth. To produce a whistling sound, restrictions to the flow of air are created using the teeth, tongue and lips.
78	0	The bellies of the starving children are swelling.	VERB	7	To become bigger, especially due to being engorged.
79	0	our new colleague relaxed when he saw that we were a friendly group.	VERB	3	To calm down.
80	0	trace the outline of a figure in the sand.	VERB	0	To follow the trail of.
81	0	the bullet pinged when they struck the car.	VERB	2	To make a high-pitched, short and somewhat sharp sound.
82	1	stamp fruit extract the juice.	VERB	0	To step quickly and heavily, once or repeatedly.
83	0	She leaned over the banister.	VERB	1	To incline, deviate, or bend, from a vertical position; to be in a position thus inclining or deviating.
84	1	her indifference to his amorous advances really steamed the young man.	VERB	7	To cook with steam.
85	0	The ground levelled off.	VERB	2	To adjust so as to make as flat or perpendicular to the ground as possible.
86	0	The lights were flashing.	VERB	3	To cause to shine briefly or intermittently.
87	1	earthquakes convulsed the countryside.	VERB	1	To violently shake or agitate.
88	1	I can not digest all this information.	VERB	3	To distribute or arrange methodically; to work over and classify; to reduce to portions for ready use or application.
89	1	We poured money into the education of our children.	VERB	1	To cause  to flow in a stream, either out of a container or into it.
90	0	The towers were topped with conical roofs.	VERB	3	To cover on the top or with a top.
91	1	The soldiers sifted through the woods.	VERB	2	To sieve or strain .
92	1	The latest intelligence is flashed to all command posts.	VERB	4	To cause to shine briefly or intermittently.
93	0	tread grapes to make wine.	VERB	0	To step or walk ; to trample.
94	1	lay a responsibility on someone.	VERB	0	To place down in a position of rest, or in a horizontal position.
95	0	The fireflies were glowing and flying about in the garden.	VERB	3	To emit light as if heated.
96	1	The stroke clouded memories of her youth.	VERB	2	To become foggy or gloomy, or obscured from sight.
97	1	condense the contents of a book into a summary.	VERB	0	To concentrate toward the essence by making more close, compact, or dense, thereby decreasing size or volume.
98	0	A hot bath always relaxes me.	VERB	4	To calm down.
99	0	wear one's hair in a certain way.	VERB	0	To carry or have equipped on or about one's body, as an item of clothing, equipment, decoration, etc.
100	0	They poured water over the floor.	VERB	1	To cause  to flow in a stream, either out of a container or into it.
101	0	Your children have infected you with this head cold.	VERB	3	To bring  into contact with a substance that causes illness , so that the pathogen begins to act on the body;  to come into contact with  and begin to act on it.
102	0	I can breathe better when the air is clean.	VERB	2	To draw air into , and expel air from , the lungs in order to extract oxygen and excrete waste gases.
103	1	The government floated the ruble for a few months.	VERB	2	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
104	1	The crisis precipitated by Russia's revolution.	VERB	2	To make something happen suddenly and quickly.
105	0	Who erased the files form my hard disk?	VERB	1	to remove markings or information
106	1	She radiates happiness.	VERB	1	To extend, send or spread out from a center like radii.
107	0	The stunt pilot looped his plane.	VERB	3	To form something into a loop.
108	1	They taxed him failure to appear in court.	VERB	1	To impose and collect a tax from .
109	1	His heart palpitated.	VERB	2	To beat strongly or rapidly; said especially of the heart.
110	0	They bind their books in leather.	VERB	1	To tie; to confine by any ligature.
111	1	only few plants can immigrate to the island.	VERB	4	To move into a foreign country to stay permanently.
112	1	They sifted through the job candidates.	VERB	1	To sieve or strain .
113	1	The White House sits on Pennsylvania Avenue.	VERB	3	To be in a position in which the upper body is upright and supported by the buttocks.
114	0	Suddenly, the proprietor emerged from his office.	VERB	3	To come into view.
115	1	I'll ping my accountant -- April 15 is nearing.	VERB	1	To make a high-pitched, short and somewhat sharp sound.
116	0	The furniture molded in the old house.	VERB	2	To shape in or on a mold; to form into a particular shape; to give shape to.
117	0	The child drowned in the lake.	VERB	2	To die from suffocation while immersed in water or other fluid.
118	0	The cord is all twisted.	VERB	4	To turn the ends of something, usually thread, rope etc., in opposite directions, often using force.
119	0	We sailed the Atlantic.	VERB	1	To be impelled or driven forward by the action of wind upon sails, as a ship on water; to be impelled on a body of water by steam or other power.
120	0	These architects build in interesting and new styles.	VERB	2	To form  by combining materials or parts.
121	1	She could not recapture that feeling of happiness.	VERB	3	To capture something for a second or subsequent time, especially after a loss.
122	1	build a modern nation.	VERB	0	To form  by combining materials or parts.
123	1	The music swelled to a crescendo.	VERB	2	To become bigger, especially due to being engorged.
124	1	The hiker negociated the high mountain pass.	VERB	2	Obsolete form of negotiate.
125	1	Unrest erupted in the country.	VERB	1	To eject something violently .
126	0	T. Boone Pickens raided many large companies.	VERB	3	To engage in a raid against.
127	1	communicate a disease.	VERB	0	To impart
128	0	He and his sons haven't communicated for years.	VERB	5	To impart
129	0	Marsh gases ignited suddenly.	VERB	2	to set fire to , to light
130	0	She shed a lot of tears when this happened.	VERB	1	To part with, separate from, leave off; cast off, let fall, be divested of.
131	1	The critics puffed up this Broadway production.	VERB	2	To emit smoke, gas, etc., in puffs.
132	0	crush an aluminum can.	VERB	0	To press between two hard objects; to squeeze so as to alter the natural shape or integrity of it, or to force together into a mass.
133	1	The businessman kited millions of dollars.	VERB	2	To assemble or collect something into kits or sets or to give somebody a kit. See also kit out and other derived phrases.
134	1	The thought of her unhappiness pricked his conscience.	VERB	5	To pierce or puncture slightly.
135	0	The old man was nodding in his chair.	VERB	4	To incline the head up and down, as to indicate agreement.
136	1	They fastened various nicknames to each other.	VERB	1	To attach or connect in a secure manner.
137	0	heap firewood around the fireplace.	VERB	0	To pile in a heap.
138	1	She spelled her husband at the wheel.	VERB	1	To put under the influence of a spell; to affect by a spell; to bewitch; to fascinate; to charm.
139	1	Her interest in butterflies absorbs her completely.	VERB	4	To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
140	0	snow drifting several feet high.	VERB	1	To move slowly, especially pushed by currents of water, air, etc.
141	0	We tasted wines last night.	VERB	1	To sample the flavor of something orally.
142	1	They hunted the unwanted immigrants out of the neighborhood.	VERB	1	To find or search for an animal in the wild with the intention of killing the animal for its meat or for sport.
143	0	The government is building new schools in this state.	VERB	3	To form  by combining materials or parts.
144	1	form the young child's character.	VERB	0	To assume .
145	1	The hikers topped the mountain just before noon.	VERB	2	To cover on the top or with a top.
146	1	She clawed the doorknob.	VERB	1	To scratch or to tear at.
147	1	the government digested the entire law into a code.	VERB	2	To distribute or arrange methodically; to work over and classify; to reduce to portions for ready use or application.
148	1	His laughter infects everyone who is in the same room.	VERB	2	To bring  into contact with a substance that causes illness , so that the pathogen begins to act on the body;  to come into contact with  and begin to act on it.
149	0	Hitler invaded Poland on September 1, 1939.	VERB	1	To move into.
150	0	Water leaked out of the can into the backpack.	VERB	1	To allow fluid or gas to pass through an opening that should be sealed.
151	1	Some people can down a pound of meat in the course of one meal.	VERB	3	To knock  down; to cause to come down, to fell.
152	1	The tooth erupted and had to be extracted.	VERB	2	To eject something violently .
153	0	pin the needle to the shirt.	VERB	0	To fasten or attach  with a pin.
154	1	The residents of this village adhered to Catholicism.	VERB	5	To stick fast or cleave, as a glutinous substance does; to become joined or united.
155	1	he buzzed the servant.	VERB	1	To make a low, continuous, humming or sibilant sound, like that made by bees with their wings.
156	1	My skin crawled -- I was terrified.	VERB	2	To creep; to move slowly on hands and knees, or by dragging the body along the ground.
157	0	He pushed the table into a corner.	VERB	1	To apply a force to  such that it moves away from the person or thing applying the force.
158	1	The steering of my new car answers to the slightest touch.	VERB	6	To make a reply or response to.
159	1	Her husband often abuses alcohol.	VERB	3	To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
160	0	pigs were wallowing in the mud.	VERB	2	To roll oneself about in something dirty, for example in mud.
161	0	Are the letters properly stamped?	VERB	4	To step quickly and heavily, once or repeatedly.
162	1	inflate the currency.	VERB	0	To enlarge an object by pushing air  into it; to raise or expand abnormally
163	0	The water swells the wood.	VERB	2	To become bigger, especially due to being engorged.
164	0	The path ascended to the top of the hill.	VERB	2	To move upward, to fly, to soar.
165	0	The champagne bottle exploded.	VERB	3	To destroy with an explosion.
166	0	These books sell like hot cakes.	VERB	2	To transfer goods or provide services in exchange for money.
167	0	She inclined her head to the student.	VERB	1	To bend or move  out of a given plane or direction, often the horizontal or vertical.
168	0	She sowed sunflower seeds.	VERB	1	To scatter, disperse, or plant .
169	1	The rules relaxed after the new director arrived.	VERB	2	To calm down.
170	0	Water sprayed all over the floor.	VERB	1	To project a liquid in a dispersive manner toward something.
171	0	The spasm convulses her facial muscles.	VERB	2	To violently shake or agitate.
172	1	sow suspicion or beliefs.	VERB	0	To scatter, disperse, or plant .
173	0	Many people immigrated at the beginning of the 20th century.	VERB	2	To move into a foreign country to stay permanently.
174	0	They poured water over the floor.	VERB	1	To cause  to flow in a stream, either out of a container or into it.
175	0	There will be men guarding the horses.	VERB	4	To protect from danger; to secure against surprise, attack, or injury; to keep in safety; to defend.
176	1	Inheritance may not ascend linearly.	VERB	3	To move upward, to fly, to soar.
177	0	the player juggled the ball.	VERB	2	To manipulate objects, such as balls, clubs, beanbags, rings, etc. in an artful or artistic manner. Juggling may also include assorted other circus skills such as the diabolo, devil sticks, hat, and cigar box manipulation as well.
178	0	the invaders seized the land and property of the inhabitants.	VERB	2	To deliberately take hold of; to grab or capture.
179	0	mount slides for macroscopic analysis.	VERB	0	To get upon; to ascend; to climb.
180	0	She neutralized the solution.	VERB	1	To make even, inactive or ineffective.
181	1	The mother drinks in every word of her son on the stage.	VERB	2	To consume  through the mouth.
182	0	Our office is fully computerized now.	VERB	4	To convert a manual function or system into a computer system.
183	1	She designed a good excuse for not attending classes that day.	VERB	1	To plan and carry out .
184	0	We drained the oil tank.	VERB	1	To lose liquid.
185	0	The father is portrayed as a good- looking man in this painting.	VERB	3	To paint or draw the likeness of.
186	1	Meteors blazed across the atmosphere.	VERB	1	To be on fire, especially producing bright flames.
187	1	The sun glared down on us.	VERB	2	To stare angrily.
188	1	She had to juggle her job and her children.	VERB	3	To manipulate objects, such as balls, clubs, beanbags, rings, etc. in an artful or artistic manner. Juggling may also include assorted other circus skills such as the diabolo, devil sticks, hat, and cigar box manipulation as well.
189	1	He swallowed his words.	VERB	1	To cause  to pass from the mouth into the stomach; to take into the stomach through the throat.
190	0	grind the spices in a mortar.	VERB	0	To reduce to smaller pieces by crushing with lateral motion.
191	0	He floated the logs down the river.	VERB	1	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
192	1	Companies will now stampede to release their latest software.	VERB	3	To run away in a panic; said of cattle, horses, etc., also of armies.
193	1	She stuffed herself at the dinner.	VERB	1	To fill by packing or crowding something into; to cram with something; to load to excess.
194	1	He kited many checks.	VERB	1	To assemble or collect something into kits or sets or to give somebody a kit. See also kit out and other derived phrases.
195	0	paste the sign on the wall.	VERB	0	To stick with paste; to cause to adhere by or as if by paste.
196	1	The ex- boxer's job is to bounce people who want to enter this private club.	VERB	6	To change the direction of motion after hitting an obstacle.
197	1	Our economy precipitated into complete ruin.	VERB	2	To make something happen suddenly and quickly.
198	0	We can compare the Han dynasty to the Romans.	VERB	2	To assess the similarities and differences between two or more things . Having made the comparison of X with Y, one might have found it similar to Y or different from Y.
199	0	The liquid fills the container.	VERB	2	To occupy fully, to take up all of.
200	0	Will this wallpaper adhere to the wall?	VERB	3	To stick fast or cleave, as a glutinous substance does; to become joined or united.
201	0	This dress spots quickly.	VERB	2	To see, find; to pick out, notice, locate, distinguish or identify.
202	0	Did you ever climb up the hill behind your house?	VERB	3	To ascend; rise; to go up.
203	1	The Nazis swallowed the Baltic countries.	VERB	2	To cause  to pass from the mouth into the stomach; to take into the stomach through the throat.
204	0	The actress abused the policeman who gave her a parking ticket.	VERB	2	To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
205	1	The unknown young man drifted among the invited guests.	VERB	4	To move slowly, especially pushed by currents of water, air, etc.
206	0	The curtain ripped from top to bottom.	VERB	2	To divide or separate the parts of , by cutting or tearing; to tear off or out by violence.
207	1	This experience transformed her completely.	VERB	2	To change greatly the appearance or form of.
208	1	The dancer floated across the stage.	VERB	2	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface.
209	1	The cigar smoke curled up at the ceiling.	VERB	3	To cause to move in a curve.
210	1	She scanned the newspaper headlines while waiting for the taxi.	VERB	1	To examine sequentially, carefully, or critically; to scrutinize; to behold closely.
211	1	This behavior will ruin your chances of winning the election.	VERB	3	To cause the fiscal ruin of.
212	1	A weather vane crowns the building.	VERB	3	To place a crown on the head of.
213	0	The teacher nodded when the student gave the right answer.	VERB	2	To incline the head up and down, as to indicate agreement.
214	0	The pothole fractured a bolt on the axle.	VERB	2	To break, or cause something to break.
215	0	It can transform energy to light.	VERB	2	To change greatly the appearance or form of.
216	1	The Senator blistered the administration in his speech on Friday.	VERB	2	To raise blisters on.
217	0	lay the books on the table.	VERB	0	To place down in a position of rest, or in a horizontal position.
218	0	She wanted to buy his love with her dedication to him and his work.	VERB	3	To obtain  in exchange for money or goods
219	1	Actions talk louder than words.	VERB	1	To communicate, usually by means of speech.
220	1	He pumped bullets into the dummy.	VERB	1	To use a pump to move .
221	0	The baby talks already.	VERB	2	To communicate, usually by means of speech.
222	0	grind lenses for glasses and cameras.	VERB	0	To reduce to smaller pieces by crushing with lateral motion.
223	1	They clawed their way to the top of the mountain.	VERB	1	To scratch or to tear at.
224	1	The immigrants were quickly absorbed into society.	VERB	4	To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.
225	1	The liberal party pushed for reforms.	VERB	3	To apply a force to  such that it moves away from the person or thing applying the force.
226	1	The ostentatious way of living of the rich ignites the hatred of the poor.	VERB	8	to set fire to , to light
227	1	flood the market with tennis shoes.	VERB	0	To overflow, as by water from excessive rainfall.
228	0	The police raided the crack house.	VERB	2	To engage in a raid against.
229	0	The cold air condensed the steam.	VERB	3	To concentrate toward the essence by making more close, compact, or dense, thereby decreasing size or volume.
230	0	Goya wanted to portray his mistress, the Duchess of Alba.	VERB	3	To paint or draw the likeness of.
231	0	The cat scraped at the armchair.	VERB	2	To discard.
232	0	I inherited my good eyesight from my mother.	VERB	1	To take possession of as a right .
233	0	steamroller the road.	VERB	0	To level a road using a steamroller.
234	1	He was locked in a laughing fit.	VERB	2	To become fastened in place.
235	0	The passenger grabbed for the oxygen mask.	VERB	2	To grip suddenly; to seize; to clutch.
236	0	The girl glared at the man who tried to make a pass at her.	VERB	2	To stare angrily.
237	0	We interrupt the program for the following messages.	VERB	1	To disturb or halt  by interfering suddenly.
238	0	I can not digest milk products.	VERB	3	To distribute or arrange methodically; to work over and classify; to reduce to portions for ready use or application.
239	0	Johnson brushed the hairs from his jacket.	VERB	1	To clean with a brush.
240	1	wallow in your success!	VERB	0	To roll oneself about in something dirty, for example in mud.
241	1	The problem roots in her depression.	VERB	2	To grow roots; to enter the earth, as roots; to take root and begin to grow.
242	0	When the officers show up, the soldiers have to salute.	VERB	9	To make a gesture in honor of .
243	0	smother the meat in gravy.	VERB	0	To suffocate; stifle; obstruct, more or less completely, the respiration of something or someone.
244	0	Lock the bike to the fence!	VERB	0	To become fastened in place.
245	1	The oscillator hunts about the correct frequency.	VERB	2	To find or search for an animal in the wild with the intention of killing the animal for its meat or for sport.
246	0	heap the platter with potatoes.	VERB	0	To pile in a heap.
247	0	The sales clerk quickly seized the money on the counter.	VERB	4	To deliberately take hold of; to grab or capture.
248	0	blood stagnates in the capillaries.	VERB	1	To cease motion, activity, or progress:
249	0	fuel aircraft, ships, and cars.	VERB	0	To provide with fuel.
250	0	male birds tread the females.	VERB	2	To step or walk ; to trample.
251	1	This office is buzzing with activity.	VERB	3	To make a low, continuous, humming or sibilant sound, like that made by bees with their wings.
252	1	trees line the riverbank.	VERB	1	To place  into a line ; to form into a line; to align.
253	1	He downed three martinis before dinner.	VERB	1	To knock  down; to cause to come down, to fell.
254	1	They were locked in embrace.	VERB	2	To become fastened in place.
255	1	The police smashed the drug ring after they were tipped off.	VERB	2	To break  violently.
256	0	This boss abuses his workers.	VERB	2	To put to a wrong use; to misapply; to use improperly; to misuse; to use for a wrong purpose or end; to pervert
257	0	The Crown Prince was acknowledged as the true heir to the throne.	VERB	4	To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
258	0	load the truck with hay.	VERB	0	To put a load on or in .
259	0	This sum will buy you a ride on the train.	VERB	3	To obtain  in exchange for money or goods
260	1	The company dumped him after many years of service.	VERB	2	To release, especially in large quantities and chaotic manner.
261	0	This dress fastens in the back.	VERB	2	To attach or connect in a secure manner.
262	0	She molded the rice balls carefully.	VERB	1	To shape in or on a mold; to form into a particular shape; to give shape to.
263	0	He nodded his approval.	VERB	1	To incline the head up and down, as to indicate agreement.
264	1	She devoured his novels.	VERB	1	To eat quickly, greedily, hungrily, or ravenously.
265	1	The mountain was splashed with snow.	VERB	3	To hit or agitate liquid so that part of it separates from the principal liquid mass.
266	0	bees were buzzing around the hive.	VERB	2	To make a low, continuous, humming or sibilant sound, like that made by bees with their wings.
267	1	the flowers were nodding in the breeze.	VERB	3	To incline the head up and down, as to indicate agreement.
268	0	We painted the rooms yellow.	VERB	1	To apply paint to.
269	0	Her faced puffed up from the drugs.	VERB	2	To emit smoke, gas, etc., in puffs.
270	1	He pasted his opponent.	VERB	1	To stick with paste; to cause to adhere by or as if by paste.
271	1	This vaccine will guard you against infection.	VERB	3	To protect from danger; to secure against surprise, attack, or injury; to keep in safety; to defend.
272	0	The Serbs attacked the village at night.	VERB	2	To apply violent force to someone or something.
273	1	Am I supposed to swallow that story?	VERB	4	To cause  to pass from the mouth into the stomach; to take into the stomach through the throat.
274	0	I will lend you my car.	VERB	2	To allow to be used by someone temporarily, on condition that it or its equivalent will be returned.
275	0	He brushed the wall lightly.	VERB	1	To clean with a brush.
276	0	engrave the pen with the owner's name.	VERB	0	To carve text or symbols into , usually for the purposes of identification or art.
277	0	The prince was crowned in Westminster Abbey.	VERB	3	To place a crown on the head of.
278	1	This play is going to ruffle some people.	VERB	5	To make a ruffle in; to curl or flute, as an edge of fabric.
279	0	The truck dumped the garbage in the street.	VERB	2	To release, especially in large quantities and chaotic manner.
280	0	commit a random act of kindness.	VERB	0	To give in trust; to put into charge or keeping; to entrust; to consign; used with to or formerly unto.
281	1	The French try to sell us their image as great lovers.	VERB	4	To transfer goods or provide services in exchange for money.
282	1	Every star seemed to flare with new intensity.	VERB	4	To cause to burn.
283	0	They plan to uproot the vine that has spread all over the garden.	VERB	3	
284	1	We had to sharpen our arguments.	VERB	3	To make sharp.
285	0	We haven't even begun to map the many galaxies that we know exist.	VERB	5	To represent by means of a map.
286	0	The needle pierced her flesh.	VERB	2	To puncture; to break through.
287	0	The car crushed the toy.	VERB	2	To press between two hard objects; to squeeze so as to alter the natural shape or integrity of it, or to force together into a mass.
288	1	The government relaxed the curfew after most of the rebels were caught.	VERB	2	To calm down.
289	1	She pumped the witnesses for information.	VERB	1	To use a pump to move .
290	0	She splashed the water around her.	VERB	1	To hit or agitate liquid so that part of it separates from the principal liquid mass.
